episode,top_1,top_3,top_5,top_10,top_k
0,1.0,1.0,1.0,0.9,0.575
1,1.0,1.0,1.0,0.8,0.675
2,1.0,1.0,0.8,0.8,0.575
3,1.0,1.0,1.0,0.8,0.65
4,1.0,1.0,1.0,0.9,0.725
5,1.0,1.0,1.0,0.7,0.5
6,1.0,0.6666666666666666,0.8,0.9,0.725
7,1.0,1.0,1.0,0.9,0.8
8,0.0,0.6666666666666666,0.8,0.8,0.625
9,1.0,1.0,0.8,0.7,0.6
10,1.0,1.0,0.8,0.9,0.525
11,1.0,0.6666666666666666,0.8,0.9,0.775
12,1.0,1.0,1.0,0.8,0.625
13,1.0,0.6666666666666666,0.8,0.8,0.6
14,1.0,1.0,0.8,0.9,0.7
15,1.0,1.0,1.0,1.0,0.675
16,1.0,0.6666666666666666,0.8,0.7,0.575
17,1.0,0.6666666666666666,0.8,0.8,0.55
18,1.0,0.6666666666666666,0.8,0.9,0.75
19,1.0,0.6666666666666666,0.6,0.7,0.65
20,1.0,1.0,1.0,1.0,0.725
21,0.0,0.6666666666666666,0.6,0.6,0.5
22,1.0,0.3333333333333333,0.6,0.8,0.675
23,1.0,1.0,1.0,1.0,0.7
24,1.0,1.0,1.0,1.0,0.625
25,0.0,0.0,0.4,0.5,0.625
26,1.0,1.0,1.0,1.0,0.675
27,1.0,0.6666666666666666,0.8,0.8,0.525
28,1.0,1.0,1.0,0.9,0.675
29,1.0,1.0,1.0,0.9,0.75
30,1.0,1.0,0.8,0.7,0.525
31,1.0,1.0,1.0,0.9,0.575
32,1.0,1.0,1.0,0.9,0.65
33,1.0,1.0,1.0,0.7,0.6
34,1.0,1.0,0.8,0.7,0.5
35,1.0,0.3333333333333333,0.6,0.8,0.675
36,1.0,1.0,1.0,1.0,0.675
37,1.0,1.0,0.8,0.8,0.55
38,1.0,1.0,1.0,0.9,0.575
39,1.0,1.0,1.0,0.9,0.625
40,1.0,0.3333333333333333,0.6,0.6,0.45
41,1.0,1.0,1.0,0.9,0.575
42,1.0,1.0,1.0,1.0,0.775
43,1.0,1.0,0.6,0.7,0.675
44,1.0,1.0,1.0,1.0,0.8
45,1.0,1.0,1.0,1.0,0.65
46,1.0,1.0,1.0,1.0,0.725
47,0.0,0.6666666666666666,0.8,0.9,0.75
48,1.0,0.3333333333333333,0.4,0.7,0.625
49,1.0,1.0,1.0,0.6,0.6
50,1.0,1.0,1.0,1.0,0.725
51,0.0,0.6666666666666666,0.8,0.8,0.625
52,1.0,1.0,1.0,1.0,0.725
53,1.0,0.6666666666666666,0.8,0.9,0.6
54,1.0,1.0,1.0,0.8,0.675
55,1.0,1.0,1.0,0.8,0.65
56,0.0,0.3333333333333333,0.6,0.7,0.475
57,1.0,1.0,1.0,0.7,0.675
58,1.0,1.0,1.0,0.9,0.625
59,1.0,0.6666666666666666,0.8,0.9,0.5
60,1.0,1.0,1.0,0.9,0.525
61,1.0,1.0,1.0,0.9,0.6
62,1.0,1.0,1.0,0.9,0.675
63,1.0,1.0,1.0,1.0,0.775
64,1.0,1.0,1.0,0.8,0.575
65,1.0,1.0,1.0,0.8,0.7
66,1.0,1.0,1.0,0.8,0.725
67,1.0,0.6666666666666666,0.8,0.9,0.6
68,1.0,0.6666666666666666,0.8,0.9,0.675
69,1.0,1.0,0.8,0.8,0.55
70,1.0,1.0,1.0,1.0,0.725
71,0.0,0.6666666666666666,0.8,0.7,0.575
72,1.0,1.0,1.0,0.9,0.6
73,1.0,0.6666666666666666,0.8,0.8,0.65
74,1.0,1.0,1.0,0.9,0.575
75,1.0,1.0,1.0,0.9,0.65
76,1.0,1.0,1.0,1.0,0.825
77,0.0,0.6666666666666666,0.8,0.8,0.625
78,1.0,1.0,1.0,0.8,0.6
79,1.0,1.0,1.0,0.8,0.6
80,1.0,1.0,1.0,0.9,0.675
81,1.0,1.0,0.8,0.8,0.525
82,0.0,0.3333333333333333,0.4,0.6,0.5
83,1.0,1.0,1.0,0.9,0.725
84,1.0,1.0,1.0,1.0,0.675
85,1.0,1.0,0.8,0.6,0.5
86,0.0,0.3333333333333333,0.4,0.6,0.45
87,1.0,1.0,1.0,0.7,0.55
88,1.0,1.0,0.8,0.7,0.75
89,1.0,1.0,1.0,0.9,0.625
90,1.0,1.0,0.8,0.9,0.6
91,1.0,1.0,1.0,1.0,0.775
92,1.0,1.0,1.0,1.0,0.8
93,1.0,1.0,1.0,1.0,0.725
94,1.0,1.0,1.0,1.0,0.6
95,1.0,0.6666666666666666,0.6,0.5,0.375
96,1.0,1.0,1.0,0.8,0.6
97,1.0,1.0,1.0,1.0,0.7
98,1.0,1.0,1.0,1.0,0.8
99,1.0,1.0,0.6,0.7,0.525
